These,are,the,entries
with,flavors,that,were,deleted
=====,=====,=====,=====,=====,=====,=====
EntryID,Type,Name,FlavorAssetIDs,FlavorsSize,LastPlayedAt,CreatedAt
1_pgtb7dtd,1,"Signing up for Academic Methods","1_wosr19xj 1_7q5jt2gq",2815,,1360059588
1_xsyqroll,1,"Chris Mullen on FY","1_rqrdn7qb 1_22cvd2qz",3440,,1360059589
1_8dqmvnl3,1,"FY (IR) Welcome","1_q1zijjsb 1_uuwzx1dc",9205,1372168800,1360059590
1_i7czw9xs,1,"ATP2 - Retshop Part A help","1_cuujmxky 1_ak6m0djh",98918,,1360059814
1_q434pnin,1,"ATP2 - Super Tutorial 3","1_63o9dpsy 1_8c7v9ip5",297984,1395658800,1360059815
1_orlqs4u5,1,"ATP2 - Super Tutorial 2: Conceptual Frameworks PART 2","1_bh0y3wnf 1_4ei04gm2",321536,1400630400,1360059816
1_fxqlalwp,1,"ATP2 - Super Tutorial 2: Conceptual Frameworks PART 1","1_tp60p4ix 1_e9wydid6",205516,1427396400,1360059817
1_qfufumst,1,"ATP2 - Super Tutorial 1: International Accounting Harmonisation","1_k4df7dhk 1_ev7517x9",292864,1416477600,1360059817
1_jo6p2gqs,1,"ATP2 Revision day part 4","1_of8hha6g 1_utzcayfy",107520,1363690800,1360059819
1_lz9zivlj,1,"ATP2 - Revision day part 3","1_7f5bdqme 1_chavmuy6",131685,1363690800,1360059820
1_nxc99f1p,1,"ATP2 - Revision day 2","1_pq8mt3pk 1_sgomcnqg",169471,1400680800,1360059820
1_uym8nbzx,1,"ATP2 - Extra revision question","1_s41gsrw2 1_aodueej6",48742,,1360059821
1_aiw2gbdh,1,"ATP2 - Groups lecture 5: Hart","1_gaj6yfkv 1_3kefgir4",185036,1408078800,1360059822
1_w6hbw0hi,1,"ATP2 - Groups Super Tut 2 - Final question: Cough","1_digz1vm9 1_h9qvwk8k",31744,1470852000,1360059823
1_ow45wcb1,1,"ATP2 - Groups Super Tutorial 4 - Henchoz","1_efxozmh2 1_o4j14bsa",168754,1405360800,1360059824
1_t568l9ne,1,"ATP2 - Groups Lecture 3: Higher","1_7rl09089 1_0m2h8pp5",188416,1391432400,1360059825
1_2z5kvudg,1,"ATP2 - Groups Lecture 4 - Holly","1_7bea87n7 1_c1jqcalj",270336,1436918400,1360059826
1_m4zus567,1,"ATP2 - Groups Super Tutorial 3 - Holt","1_rzfpjvym 1_0roviekf",241356,1470862800,1360059827
1_efhkv81l,1,"ATP2 - Groups Super tutorial 2","1_e3t4xvnd 1_e8ba2kvh",227840,1470852000,1360059829
1_ngr7ak1u,1,"ATP2 - Groups Super Tutorial 1",1_7ucdjad4,107520,1393430400,1360059830
1_8we1rvcm,1,"ATP2 - Super Tutorial 15","1_601fcy0z 1_g0fc48kf",194764,1377190800,1360059830
1_dt790chi,1,"ATP2 - Super Tutorial 14","1_hzoisai1 1_gs6hvnhd",172953,,1360059831
1_ajjpd6fk,1,"ATP2 - Super Tutorial 13 (Last Year - see Moodle)","1_5fq9mtg6 1_9i3589jo",307200,1400774400,1360059832
1_jclbqswq,1,"MMU Large Lecture Theatre 2012","1_0wjrmwfi 1_hqvtxnif",31129,,1360059877
1_o2ekihu2,1,"ICTS All Saints Central - All Saints Library Facilities Podcast","1_qm0rb1ig 1_wpqzxlzu",12584,1432076400,1360059878
1_budwvjz0,1,"ICTS All Saints Central - School Of Law Facilities Podcast","1_wo1yuioj 1_setnol39",14049,,1360059879
1_22z64ar1,1,"ICTS All Saints Central - MMUBS Facilities Podcast","1_hsu58a91 1_9n96ij79",13281,,1360059880
1_koh52htr,1,"04 - dentaltec - Selecting a path of insertion.","1_1urasn6k 1_p6y5gjon",27852,1527098400,1360060147
1_j1c2c6pt,1,"03 - dentaltec - Dental cast surveyor","1_s7pafogq 1_jgphhkjv",27955,1557298800,1360060148
1_n5ght7eh,1,"dentaltec - 07 - Spacing wax","1_zwupf3r6 1_k9dzdfa2",35737,,1360060149
1_6pivmqx0,1,"dentaltec - 10 - Pin dams","1_xtb9ot19 1_k1ytv0i0",27545,,1360060150
1_wpeuvfsx,1,"dentaltec - 02 - Design outline","1_97v2djp2 1_6u9hw8x5",115507,1527094800,1360060155
1_30lwgfk2,1,"dentaltec - 01 - Introduction","1_9ilmrl6e 1_gq3603me",26828,1527094800,1360060156
1_xtajk40s,1,"Wax pattern for a lower removable partial denture framework","1_s6vdd6kr 1_8pank93x",194867,1360576800,1360060157
1_v667qnvk,1,"Surveying - Video 1","1_cy3woc2b 1_jw8cown0",124517,1555898400,1360060158
1_wsno7gtp,1,"Smoothing and polishing cobalt-chromium","1_aw6s6n9k 1_pf8om9a1",64204,1523638800,1360060159
1_4l7ntsmy,1,"Surveying walkthrough","1_81z4yel8 1_j3jaevek",300032,1557298800,1360060160
1_ggdfwhxo,1,"Effect of inclined plane on tooth rest position","1_8bktbyj1 1_ychbvwif",9512,,1360060161
1_u8f6evsg,1,"Explanation of 'undercuts'","1_buhaeogf 1_81e4eds0",10444,,1360060162
1_ss576emi,1,"CoCr Wax Pattern - Part Two","1_6wfqiq2u 1_dm67t0d7 1_nt908w58",59289,1428998400,1360060163
1_qrcpwp94,1,"CoCr Wax Pattern - Part Three","1_48djauyo 1_hbsswpza 1_8y9t4yt9",65228,1408575600,1360060164
1_eequly6z,1,"CoCr Wax Pattern - Part Four","1_a7o3uyvz 1_6f48ooi7 1_nh4677vp",109157,1408575600,1360060165
1_ut4oh0ow,1,"CoCr Wax Pattern - Part Five","1_v2lmv19h 1_100majr3 1_onqkdqta",143358,1408575600,1360060166
1_ez4qj6nv,1,"CoCr Wax Pattern - Applying the design outline","1_wqejr2y4 1_c1faww98 1_7z00lggj",98098,1442761200,1360060166
1_1z39ed6y,1,"Surveying and model preparation - KII Mod 2","1_1fiz56hh 1_bnzd3a0h 1_u150lrbs",461824,1566234000,1360060167
1_jonta8r2,1,"CoCr Wax Pattern - Part One","1_trtfm38b 1_kl0d1j82 1_djzzgiai",132197,1425945600,1360060168
1_izpkccvl,1,"Electrobrightening procedure","1_u36ptxx6 1_s2w4vuq2 1_qatb8tpn",48230,1362560400,1360060169
1_yvnlzmms,1,"Aspects of Social Exclusion Introduction (and overview of the statistics)","1_ffr2ihbg 1_he6amsdv",22671,,1360060384
1_kc6xq6zj,1,"Critical Perspectives on Public Law Intro (could be skipped if short of time)","1_ado0wnwj 1_auz4pgml",46182,,1360060387
1_tspzm95v,1,"Law and Society: Aspects of Social Exclusion (main lecture)","1_90jhpry0 1_9yy8pk44",72191,,1360060453
1_1rtemgs7,1,"Stand-alone unit CPD induction 2012-13","1_42lym6bu 1_0uvkfhnz",34098,,1360060510
1_m3ou7mbj,1,"CHP Induction Podcast Two 2012-13","1_troqatms 1_a5osctvq",68300,,1360060511
1_civgk0wo,1,"CHP Induction Podcast One 2012-13","1_z95x2og7 1_l1l0acj3",33177,,1360060512
1_kokl4ba0,1,"BSc (Hons) Contemporary Health Practice Degree (CHP) Induction Podcast Two","1_ptsndpr6 1_9rc1mlsl",87448,,1360060513
1_h67tft7e,1,"BSc (Hons) Contemporary Health Practice Degree (CHP) Induction Podcast One","1_0gci992z 1_fnni6uxe",42393,,1360060515
1_0ts65olk,1,"Induction Welcome Podcast 2011","1_08ft2vyd 1_qmlfhmgu",52735,,1360060518
1_qk179b72,1,Mintel,"1_y07fhosb 1_vrd515k4",32153,,1360060586
1_iov2herj,1,"FAME: an overview","1_80acfgh8 1_vf1lnns7",28672,,1360060587
1_oa2yycn1,1,"FAME: how to create a peer analysis","1_d100c64c 1_ek3gzfm6",28672,,1360060588
1_vbdy6xzl,1,"Cochrane Library","1_e8ws3jdv 1_aw61qc4k",48025,,1360060591
1_4je3ggrm,1,"Textile Technology Index","1_q1s342oe 1_4ra8pdj3",28057,,1360060592
1_qbjwqqfl,1,"Find it! @MMU Library","1_mk2st1y3 1_x56fx21s",24811,1473058800,1360060597
1_ue0wcb2f,1,"Business Source Premier","1_i861d1yj 1_4gj306zg",33587,,1360060598
1_e1e1m2cl,1,"DPP session3",1_191bth25,51097,,1360060859
1_2x9kjbtn,1,"DPP session 2",1_6nocphi6,41472,,1360060860
1_ce4loggd,1,"DPP session 1 part 1",1_ahq4owrb,24064,,1360060861
1_ckkgtgwr,1,"DPP session part 2",1_n7eokfg0,8960,,1360060861
1_agouyulj,1,"DPP session 1 MSC IR and DMC",1_g5cprk70,89804,,1360060863
1_g1n3ijnm,1,"Developing Profession Practice session1",1_i7jcvh3b,103,,1360060863
1_61ofwgg1,1,"poster presentation","1_fxohll7c 1_10wtdc3r",110181,,1360060864
1_bvpdddyi,1,"Lancashire and the Civil War","1_10wlnyfz 1_rxcdi2af",279552,,1360060929
1_ns04rpn3,1,"Britain and the American Civil War ","1_wpf7n92j 1_qs373rn2",279552,,1360060930
1_sgejgiwu,1,"Emancipation 5","1_jj0f0nfo 1_p6y1y4ux",284672,,1360060931
1_rqvoeztw,1,"Kitcheners Army","1_ksjik45c 1_shbqdnnu",291840,,1360060932
1_32ub36ib,1,"The Crisis of the 1850s","1_n7fmscvm 1_dsmnllou",332800,,1360060933
1_b81svb23,1,"Accessing Electronic Resources from Home 2","1_sbkgan1h 1_tx1imp1o",34508,,1360060937
1_rb54omqv,1,"How to Use Article Finder","1_eqzcp7bn 1_t5lwziht",58265,,1360060938
1_o25jmxpi,1,"Accessing Electronic Resources from Home","1_32c4zf5u 1_ns13c6th",35430,,1360060939
1_mrmjk39n,1,"Further exam guidance on brand management","1_tlds9ovk 1_rcmkt6m0",45055,,1360061642
1_7g1iyr0o,1,"Brand Management 2012 exams briefing","1_dm9rz2sb 1_9kzpn477",29490,,1360061643
1_dbt6a7v3,1,"MCP Assignmnet 2 briefing","1_xl8gt5v8 1_trtnmg57",28978,,1360061644
1_frj4w6sm,1,Untitled,"1_amd20950 1_ciu7w84d",20243,,1360061645
1_7pyycq2q,1,"Buyer behaviour podcast",1_pu2ku17t,14336,,1360061646
1_n9fkznia,1,"Marketing Planning 2 podcast",1_sjei0397,8970,,1360061646
1_51e6gcyn,1,"Podcast MCP marketing planning 1",1_5lehyv8b,10752,,1360061647
1_gumkd6f9,1,"Podcast for MCP assignment 1 2011",1_rida8k1s,4853,,1360061648
1_lnxfc3ox,1,"Consumer brands podcast",1_lvemdarg,7618,,1360061649
1_uyx9utxi,1,"Induction MRD 2011","1_crkee6hx 1_57v4sbtm",88473,,1360061650
1_ubg77yvr,1,"Brands and the festive seasons","1_xoubkk0v 1_wbrmy7x5",145715,,1360061651
1_f6jqteb0,1,"Brand Management Emotion case study:Buddy Holly","1_yade9ufy 1_akoagf4c",230400,,1360061652
1_zh7a58qs,1,"Brand Management 2011 exam revision","1_8gwr4xbe 1_2h1g6dec",26418,,1360061653
1_wl15xytm,1,"Assignmnet feedback","1_52uc618r 1_0134ns6n",12809,,1360061654
